dir,kind,accuracy,log_loss,features,rows_train
models,root,,,,
models_baseline,root,,,,
models_default,root,,,,
models_eval_euro2021,root,,,,
models_eval_euro2021_stats,root,,,,
models_eval_euro2021_v2,root,,,,
models_eval_euro2024,root,,,,
models_eval_euro2024_after_md1,root,,,,
models_eval_euro2024_after_md1_v2,root,,,,
models_eval_euro2024_stats,root,,,,
models_eval_euro2024_v2,root,,,,
models_eval_wc2022,root,,,,
models_eval_wc2022_stats,root,,,,
models_eval_wc2022_v2,root,,,,
models_feature_recent5_form,root,,,,
models_feature_v2,root,,,,
models_feature_v2_external_elo,root,,,,
models_feature_v2_external_elo_soccerbase_stats,root,,,,
models_feature_v2_fjelstul_fixed,root,,,,
models_feature_v2_geo,root,,,,
models_feature_v2_goalscorers_squads_market,root,,,,
models_feature_v2_goalscorers_squads_no_sample_weights,root,,,,
models_feature_v2_goalscorers_squads_recency,root,,,,
models_feature_v2_lineup_shapes_no_general_player_squads,root,,,,
models_feature_v2_no_sample_weights,root,,,,
models_feature_v2_odds_btb,root,,,,
models_feature_v2_oddsportal_goalscorers_squads_recency,root,,,,
models_feature_v2_oddsportal_plus_goalscorers_squads_no_sample_weights,root,,,,
models_feature_v2_oddsportal_plus_goalscorers_squads_recency,root,,,,
models_feature_v2_random_forest,root,,,,
models_feature_v2_sample_20y,root,,,,
models_feature_v2_soccerbase_played_ratings,root,,,,
models_feature_v2_soccerbase_starters_no_ratings,root,,,,
models_feature_v2_soccerbase_starters_ratings,root,,,,
models_feature_v2_soccerbase_starters_yearly_ratings,root,,,,
models_feature_v2_soccerbase_stats,root,,,,
models_feature_v2_soccerbase_stats_afc_squads,root,,,,
models_feature_v2_soccerbase_stats_cards,root,,,,
models_feature_v2_soccerbase_stats_cards_lineup_shapes,root,,,,
models_feature_v2_soccerbase_stats_lineup_shapes,root,,,,
models_feature_v2_soccerbase_stats_lineups_no_ratings,root,,,,
models_feature_v2_soccerbase_stats_lineups_yearly_ratings,root,,,,
models_feature_v2_soccerbase_stats_oddsportal,root,,,,
models_feature_v2_soccerbase_stats_recency,root,,,,
models_feature_v2_soccerbase_stats_squad_market,root,,,,
models_feature_v3_xfkz,root,,,,
models_feature_v3_xfkz_perf,root,,,,
models_worldcup2026_default,root,,,,
outputs,root,0.6132676709154113,0.8533518231688064,269.0,27097.0
outputs_baseline,root,0.6097914252607184,0.8572397901184285,66.0,27097.0
outputs_default,root,0.6161645422943222,0.8538917441490884,505.0,27097.0
outputs_eval_euro2021,root,0.6105852810508017,0.8582390733428911,193.0,25372.0
outputs_eval_euro2021_stats,root,0.6084604983581224,0.8579339266511482,473.0,25372.0
outputs_eval_euro2021_v2,root,0.6101989569248599,0.8556627433870799,269.0,25372.0
outputs_eval_euro2024,root,0.6054025423728814,0.8532985782577575,193.0,28661.0
outputs_eval_euro2024_after_md1,root,0.6036422067487949,0.8555697317214432,193.0,28682.0
outputs_eval_euro2024_after_md1_v2,root,0.6031065881092662,0.8530331471188989,269.0,28682.0
outputs_eval_euro2024_stats,root,0.604343220338983,0.854526847037367,473.0,28661.0
outputs_eval_euro2024_v2,root,0.6048728813559322,0.8515128479473867,269.0,28661.0
outputs_eval_wc2022,root,0.6150604102275921,0.8588000155438495,193.0,26990.0
outputs_eval_wc2022_stats,root,0.6142174768193313,0.8579250786125499,473.0,26990.0
outputs_eval_wc2022_v2,root,0.6150604102275921,0.8559922692611125,269.0,26990.0
outputs_experiments,root,,,,
outputs_feature_recent5_form,root,0.6161645422943222,0.8538917441490884,505.0,27097.0
outputs_feature_v2,root,0.6089223638470452,0.8576491866922317,269.0,27097.0
outputs_feature_v2_external_elo,root,0.6126882966396292,0.8524740205995318,347.0,27097.0
outputs_feature_v2_external_elo_soccerbase_stats,root,0.6152954808806489,0.8529749385193016,479.0,27097.0
outputs_feature_v2_fjelstul_fixed,root,0.6132676709154113,0.8530607375588398,269.0,27097.0
outputs_feature_v2_geo,root,0.6092120509849362,0.8524550966168731,289.0,27097.0
outputs_feature_v2_goalscorers_squads_market,root,0.6123986095017381,0.853303376956824,359.0,27097.0
outputs_feature_v2_goalscorers_squads_no_sample_weights,root,0.6141367323290846,0.8533381129674384,341.0,27097.0
outputs_feature_v2_goalscorers_squads_recency,root,0.6095017381228274,0.8575763050168846,341.0,27097.0
outputs_feature_v2_lineup_shapes_no_general_player_squads,root,0.6089223638470452,0.856285240149661,313.0,27097.0
outputs_feature_v2_no_sample_weights,root,0.6132676709154113,0.8533518231688064,269.0,27097.0
outputs_feature_v2_odds_btb,root,0.6109501738122828,0.8535500091603313,289.0,27097.0
outputs_feature_v2_oddsportal_goalscorers_squads_recency,root,0.6074739281575898,0.8547464080475222,361.0,27097.0
outputs_feature_v2_oddsportal_plus_goalscorers_squads_no_sample_weights,root,0.6121089223638471,0.8487936572784629,368.0,27097.0
outputs_feature_v2_oddsportal_plus_goalscorers_squads_recency,root,0.6095017381228274,0.8530449666560865,368.0,27097.0
outputs_feature_v2_random_forest,root,0.608053302433372,0.8708332895490059,341.0,27097.0
outputs_feature_v2_sample_20y,root,0.6086326767091541,0.8565934010124725,269.0,27097.0
outputs_feature_v2_soccerbase_played_ratings,root,0.6123986095017381,0.8531743625081285,401.0,27097.0
outputs_feature_v2_soccerbase_starters_no_ratings,root,0.6112398609501738,0.8538505266494252,362.0,27097.0
outputs_feature_v2_soccerbase_starters_ratings,root,0.6123986095017381,0.8541162909627178,401.0,27097.0
outputs_feature_v2_soccerbase_starters_yearly_ratings,root,0.6123986095017381,0.8553173635956047,461.0,27097.0
outputs_feature_v2_soccerbase_stats,root,0.61558516801854,0.854657198147091,473.0,27097.0
outputs_feature_v2_soccerbase_stats_afc_squads,root,0.61558516801854,0.8547535389128215,473.0,27097.0
outputs_feature_v2_soccerbase_stats_cards,root,0.6121089223638471,0.8555149477740119,563.0,27097.0
outputs_feature_v2_soccerbase_stats_cards_lineup_shapes,root,0.6109501738122828,0.856946487259539,602.0,27097.0
outputs_feature_v2_soccerbase_stats_lineup_shapes,root,0.6115295480880649,0.8548531103744889,512.0,27097.0
outputs_feature_v2_soccerbase_stats_lineups_no_ratings,root,0.6144264194669756,0.8546805502589365,494.0,27097.0
outputs_feature_v2_soccerbase_stats_lineups_yearly_ratings,root,0.6129779837775203,0.8562031675106708,593.0,27097.0
outputs_feature_v2_soccerbase_stats_oddsportal,root,0.6121089223638471,0.8504628979738574,500.0,27097.0
outputs_feature_v2_soccerbase_stats_recency,root,0.6152954808806489,0.854560293744454,605.0,27097.0
outputs_feature_v2_soccerbase_stats_squad_market,root,0.61558516801854,0.8546587780180156,491.0,27097.0
outputs_feature_v3_xfkz,root,0.6121089223638471,0.8528667671946041,323.0,27097.0
outputs_feature_v3_xfkz_perf,root,0.6118192352259559,0.8529028053164336,356.0,27097.0
outputs_worldcup2026_default,root,0.6152954808806489,0.8551057524972907,473.0,27097.0
PriorLabsTabPFN\outputs,tabpfn,0.604287369640788,0.8703089692335502,60.0,2000.0
PriorLabsTabPFN\outputs_4000,tabpfn,0.6063151796060255,0.8658382726983318,60.0,4000.0
PriorLabsTabPFN\outputs_all_1000,tabpfn,0.6034183082271147,0.8793548792362178,505.0,1000.0
