source,espn_event_id,match_number,date,kickoff_utc,stage,home_team,away_team,home_slot,away_slot,home_is_placeholder,away_is_placeholder,espn_home_team,espn_away_team,espn_name,espn_home_abbreviation,espn_away_abbreviation
espn,760415,1,2026-06-11,2026-06-11T19:00Z,Group Stage,Mexico,South Africa,,,False,False,Mexico,South Africa,South Africa at Mexico,MEX,RSA
espn,760414,2,2026-06-12,2026-06-12T02:00Z,Group Stage,South Korea,Czechia,,,False,False,South Korea,Czechia,Czechia at South Korea,KOR,CZE
espn,760416,3,2026-06-12,2026-06-12T19:00Z,Group Stage,Canada,Bosnia and Herzegovina,,,False,False,Canada,Bosnia-Herzegovina,Bosnia-Herzegovina at Canada,CAN,BIH
espn,760417,4,2026-06-13,2026-06-13T01:00Z,Group Stage,United States,Paraguay,,,False,False,United States,Paraguay,Paraguay at United States,USA,PAR
espn,760420,5,2026-06-13,2026-06-13T19:00Z,Group Stage,Qatar,Switzerland,,,False,False,Qatar,Switzerland,Switzerland at Qatar,QAT,SUI
espn,760419,6,2026-06-13,2026-06-13T22:00Z,Group Stage,Brazil,Morocco,,,False,False,Brazil,Morocco,Morocco at Brazil,BRA,MAR
espn,760418,7,2026-06-14,2026-06-14T01:00Z,Group Stage,Haiti,Scotland,,,False,False,Haiti,Scotland,Scotland at Haiti,HAI,SCO
espn,760421,8,2026-06-14,2026-06-14T04:00Z,Group Stage,Australia,Türkiye,,,False,False,Australia,Türkiye,Türkiye at Australia,AUS,TUR
espn,760422,9,2026-06-14,2026-06-14T17:00Z,Group Stage,Germany,Curaçao,,,False,False,Germany,Curaçao,Curaçao at Germany,GER,CUW
espn,760425,10,2026-06-14,2026-06-14T20:00Z,Group Stage,Netherlands,Japan,,,False,False,Netherlands,Japan,Japan at Netherlands,NED,JPN
espn,760423,11,2026-06-14,2026-06-14T23:00Z,Group Stage,Ivory Coast,Ecuador,,,False,False,Ivory Coast,Ecuador,Ecuador at Ivory Coast,CIV,ECU
espn,760424,12,2026-06-15,2026-06-15T02:00Z,Group Stage,Sweden,Tunisia,,,False,False,Sweden,Tunisia,Tunisia at Sweden,SWE,TUN
espn,760428,13,2026-06-15,2026-06-15T16:00Z,Group Stage,Spain,Cape Verde,,,False,False,Spain,Cape Verde,Cape Verde at Spain,ESP,CPV
espn,760426,14,2026-06-15,2026-06-15T19:00Z,Group Stage,Belgium,Egypt,,,False,False,Belgium,Egypt,Egypt at Belgium,BEL,EGY
espn,760429,15,2026-06-15,2026-06-15T22:00Z,Group Stage,Saudi Arabia,Uruguay,,,False,False,Saudi Arabia,Uruguay,Uruguay at Saudi Arabia,KSA,URU
