source,espn_event_id,date,home_team,away_team,home_score,away_score,status,completed,fetched_at,source_url
espn,760415,2026-06-11,Mexico,South Africa,2,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760414,2026-06-12,South Korea,Czechia,2,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760416,2026-06-12,Canada,Bosnia-Herzegovina,1,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760417,2026-06-13,United States,Paraguay,4,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760419,2026-06-13,Brazil,Morocco,1,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760420,2026-06-13,Qatar,Switzerland,1,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760418,2026-06-14,Haiti,Scotland,0,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760421,2026-06-14,Australia,Türkiye,2,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760422,2026-06-14,Germany,Curaçao,7,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760423,2026-06-14,Ivory Coast,Ecuador,1,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760425,2026-06-14,Netherlands,Japan,2,2,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760424,2026-06-15,Sweden,Tunisia,5,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760426,2026-06-15,Belgium,Egypt,1,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760428,2026-06-15,Spain,Cape Verde,0,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760429,2026-06-15,Saudi Arabia,Uruguay,1,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760427,2026-06-16,Iran,New Zealand,2,2,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760430,2026-06-16,Iraq,Norway,1,4,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
