date,match_number,tournament,stage,group,home_team,away_team,city,country,venue,neutral,home_is_placeholder,away_is_placeholder,odds_available,home_odds,draw_odds,away_odds,max_home_odds,max_draw_odds,max_away_odds,n_odds_home_win,n_odds_draw,n_odds_away_win,oddsportal_event_id,oddsportal_encoded_event_id,oddsportal_date_utc,oddsportal_kickoff_utc,oddsportal_detail_url,oddsportal_source_url,local_home_team,local_away_team,local_kickoff_at,placeholder_home_label,placeholder_away_label,espn_event_id,espn_home_team,espn_away_team,espn_home_slot,espn_away_slot,espn_kickoff_utc,merge_source,oddsportal_home_team,oddsportal_away_team,scraped_at_utc
2026-06-11,1,FIFA World Cup,Group Stage,A,Mexico,South Africa,Mexico City,Mexico,Estadio Azteca,False,False,False,0,,,,,,,,,,,,,,,,Mexico,South Africa,2026-06-11 15:00:00-06,,,760415,Mexico,South Africa,,,2026-06-11T19:00Z,espn_fixture_no_odds,,,2026-07-16T14:47:21.853Z
2026-06-11,2,FIFA World Cup,Group Stage,A,South Korea,Czechia,Guadalajara,Mexico,Estadio Akron,True,False,False,0,,,,,,,,,,,,,,,,South Korea,Czechia,2026-06-11 22:00:00-06,,,760414,South Korea,Czechia,,,2026-06-12T02:00Z,espn_fixture_no_odds,,,2026-07-16T14:47:21.853Z
2026-06-12,3,FIFA World Cup,Group Stage,B,Canada,Bosnia and Herzegovina,Toronto,Canada,BMO Field,False,False,False,0,,,,,,,,,,,,,,,,Canada,Bosnia and Herzegovina,2026-06-12 15:00:00-04,,,760416,Canada,Bosnia-Herzegovina,,,2026-06-12T19:00Z,espn_fixture_no_odds,,,2026-07-16T14:47:21.853Z
2026-06-12,4,FIFA World Cup,Group Stage,D,United States,Paraguay,Los Angeles,United States,SoFi Stadium,False,False,False,0,,,,,,,,,,,,,,,,United States,Paraguay,2026-06-12 21:00:00-07,,,760417,United States,Paraguay,,,2026-06-13T01:00Z,espn_fixture_no_odds,,,2026-07-16T14:47:21.853Z
2026-06-13,5,FIFA World Cup,Group Stage,B,Qatar,Switzerland,San Francisco Bay Area,United States,Levi's Stadium,True,False,False,0,,,,,,,,,,,,,,,,Qatar,Switzerland,2026-06-13 15:00:00-07,,,760420,Qatar,Switzerland,,,2026-06-13T19:00Z,espn_fixture_no_odds,,,2026-07-16T14:47:21.854Z
2026-06-13,6,FIFA World Cup,Group Stage,C,Brazil,Morocco,New York/New Jersey,United States,MetLife Stadium,True,False,False,0,,,,,,,,,,,,,,,,Brazil,Morocco,2026-06-13 18:00:00-04,,,760419,Brazil,Morocco,,,2026-06-13T22:00Z,espn_fixture_no_odds,,,2026-07-16T14:47:21.854Z
2026-06-13,7,FIFA World Cup,Group Stage,C,Haiti,Scotland,Boston,United States,Gillette Stadium,True,False,False,0,,,,,,,,,,,,,,,,Haiti,Scotland,2026-06-13 21:00:00-04,,,760418,Haiti,Scotland,,,2026-06-14T01:00Z,espn_fixture_no_odds,,,2026-07-16T14:47:21.854Z
2026-06-14,8,FIFA World Cup,Group Stage,D,Australia,Türkiye,Vancouver,Canada,BC Place,True,False,False,0,,,,,,,,,,,,,,,,Australia,Türkiye,2026-06-14 00:00:00-07,,,760421,Australia,Türkiye,,,2026-06-14T04:00Z,espn_fixture_no_odds,,,2026-07-16T14:47:21.854Z
2026-06-14,9,FIFA World Cup,Group Stage,E,Germany,Curaçao,Houston,United States,NRG Stadium,True,False,False,0,,,,,,,,,,,,,,,,Germany,Curaçao,2026-06-14 13:00:00-05,,,760422,Germany,Curaçao,,,2026-06-14T17:00Z,espn_fixture_no_odds,,,2026-07-16T14:47:21.854Z
2026-06-14,10,FIFA World Cup,Group Stage,F,Netherlands,Japan,Dallas,United States,AT&T Stadium,True,False,False,0,,,,,,,,,,,,,,,,Netherlands,Japan,2026-06-14 16:00:00-05,,,760425,Netherlands,Japan,,,2026-06-14T20:00Z,espn_fixture_no_odds,,,2026-07-16T14:47:21.854Z
