match_number,date,stage,group,home_team,away_team,score,predicted_winner,note
1,11-06-2026,Groepsfase,A,Mexico,South Africa,2-0,Mexico,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
2,11-06-2026,Groepsfase,A,South Korea,Czech Republic,1-1,Draw,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
3,12-06-2026,Groepsfase,B,Canada,Bosnia and Herzegovina,2-0,Canada,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
4,12-06-2026,Groepsfase,D,United States,Paraguay,1-0,United States,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
5,13-06-2026,Groepsfase,B,Qatar,Switzerland,0-2,Switzerland,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
6,13-06-2026,Groepsfase,C,Brazil,Morocco,2-1,Brazil,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
7,13-06-2026,Groepsfase,C,Haiti,Scotland,1-2,Scotland,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
8,14-06-2026,Groepsfase,D,Australia,Turkey,0-1,Turkey,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
9,14-06-2026,Groepsfase,E,Germany,Curaçao,2-1,Germany,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
10,14-06-2026,Groepsfase,F,Netherlands,Japan,2-1,Netherlands,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
11,14-06-2026,Groepsfase,E,Ivory Coast,Ecuador,1-2,Ecuador,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
12,14-06-2026,Groepsfase,F,Sweden,Tunisia,2-1,Sweden,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
13,15-06-2026,Groepsfase,H,Spain,Cape Verde,3-0,Spain,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
14,15-06-2026,Groepsfase,G,Belgium,Egypt,2-1,Belgium,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
15,15-06-2026,Groepsfase,H,Saudi Arabia,Uruguay,0-1,Uruguay,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
16,15-06-2026,Groepsfase,G,Iran,New Zealand,2-1,Iran,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
17,16-06-2026,Groepsfase,I,France,Senegal,2-1,France,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
18,16-06-2026,Groepsfase,I,Iraq,Norway,0-2,Norway,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
19,16-06-2026,Groepsfase,J,Argentina,Algeria,2-0,Argentina,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
20,17-06-2026,Groepsfase,J,Austria,Jordan,2-1,Austria,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
21,17-06-2026,Groepsfase,K,Portugal,DR Congo,2-0,Portugal,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
22,17-06-2026,Groepsfase,L,England,Croatia,2-1,England,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
23,17-06-2026,Groepsfase,L,Ghana,Panama,2-1,Ghana,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
24,17-06-2026,Groepsfase,K,Uzbekistan,Colombia,1-2,Colombia,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
25,18-06-2026,Groepsfase,A,Czech Republic,South Africa,1-0,Czech Republic,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
26,18-06-2026,Groepsfase,B,Switzerland,Bosnia and Herzegovina,2-0,Switzerland,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
27,18-06-2026,Groepsfase,B,Canada,Qatar,2-0,Canada,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
28,18-06-2026,Groepsfase,A,Mexico,South Korea,2-1,Mexico,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
29,19-06-2026,Groepsfase,D,United States,Australia,1-0,United States,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
30,19-06-2026,Groepsfase,C,Scotland,Morocco,1-2,Morocco,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
31,19-06-2026,Groepsfase,C,Brazil,Haiti,3-0,Brazil,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
32,20-06-2026,Groepsfase,D,Turkey,Paraguay,2-1,Turkey,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
33,20-06-2026,Groepsfase,F,Netherlands,Sweden,2-1,Netherlands,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
34,20-06-2026,Groepsfase,E,Germany,Ivory Coast,2-1,Germany,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
35,20-06-2026,Groepsfase,E,Ecuador,Curaçao,3-0,Ecuador,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
36,21-06-2026,Groepsfase,F,Tunisia,Japan,0-1,Japan,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
37,21-06-2026,Groepsfase,H,Spain,Saudi Arabia,3-0,Spain,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
38,21-06-2026,Groepsfase,G,Belgium,Iran,2-1,Belgium,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
39,21-06-2026,Groepsfase,H,Uruguay,Cape Verde,2-0,Uruguay,Imported from user Scorito_scores_puur.xlsx as the locked group-stage entry score.
