source,soccerbase_game_id,date,competition,season,tab,stage,home_team,away_team,team,opponent,is_home,player_id,player_name,card_type,minute,event_source,source_url
soccerbase,697850,2014-07-13,World Cup,2014,default,Final,Germany,Argentina,Germany,Argentina,1,47601,B Howedes,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1150
soccerbase,697850,2014-07-13,World Cup,2014,default,Final,Germany,Argentina,Germany,Argentina,1,33958,B Schweinsteiger,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1150
soccerbase,697850,2014-07-13,World Cup,2014,default,Final,Germany,Argentina,Argentina,Germany,0,38150,J Mascherano,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1150
soccerbase,697850,2014-07-13,World Cup,2014,default,Final,Germany,Argentina,Argentina,Germany,0,44554,S Aguero,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1150
soccerbase,697849,2014-07-12,World Cup,2014,default,3rd/4th Place Play-Off,Brazil,Netherlands,Brazil,Netherlands,1,52608,T Thiago Silva,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1150
soccerbase,697849,2014-07-12,World Cup,2014,default,3rd/4th Place Play-Off,Brazil,Netherlands,Brazil,Netherlands,1,44495,Fernandinho,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1150
soccerbase,697849,2014-07-12,World Cup,2014,default,3rd/4th Place Play-Off,Brazil,Netherlands,Brazil,Netherlands,1,62649,Oscar,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1150
soccerbase,697849,2014-07-12,World Cup,2014,default,3rd/4th Place Play-Off,Brazil,Netherlands,Netherlands,Brazil,0,45631,J de Guzman,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1150
soccerbase,697849,2014-07-12,World Cup,2014,default,3rd/4th Place Play-Off,Brazil,Netherlands,Netherlands,Brazil,0,32476,A Robben,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1150
soccerbase,696766,2014-07-09,World Cup,2014,default,Semi-finals,Netherlands,Argentina,Netherlands,Argentina,1,55752,B Martins Indi,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1150
soccerbase,696766,2014-07-09,World Cup,2014,default,Semi-finals,Netherlands,Argentina,Netherlands,Argentina,1,26443,K Huntelaar,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1150
