source,soccerbase_game_id,date,competition,season,tab,stage,home_team,away_team,team,opponent,is_home,player_id,player_name,card_type,minute,event_source,source_url
soccerbase,849211,2022-12-18,World Cup,2022,default,Final,Argentina,France,Argentina,France,1,117769,G Montiel,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1764
soccerbase,849211,2022-12-18,World Cup,2022,default,Final,Argentina,France,Argentina,France,1,75352,L Paredes,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1764
soccerbase,849211,2022-12-18,World Cup,2022,default,Final,Argentina,France,Argentina,France,1,146709,E Fernandez,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1764
soccerbase,849211,2022-12-18,World Cup,2022,default,Final,Argentina,France,Argentina,France,1,97936,M Acuna,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1764
soccerbase,849211,2022-12-18,World Cup,2022,default,Final,Argentina,France,France,Argentina,0,66569,A Rabiot,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1764
soccerbase,849211,2022-12-18,World Cup,2022,default,Final,Argentina,France,France,Argentina,0,88176,M Thuram,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1764
soccerbase,849211,2022-12-18,World Cup,2022,default,Final,Argentina,France,France,Argentina,0,55730,O Giroud,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1764
soccerbase,849210,2022-12-17,World Cup,2022,default,3rd/4th Place Play-Off,Croatia,Morocco,Morocco,Croatia,0,86167,S Amallah,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1764
soccerbase,849210,2022-12-17,World Cup,2022,default,3rd/4th Place Play-Off,Croatia,Morocco,Morocco,Croatia,0,123795,A Ounahi,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1764
soccerbase,849209,2022-12-14,World Cup,2022,default,Semi-finals,France,Morocco,Morocco,France,0,80669,S Boufal,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1764
soccerbase,849208,2022-12-13,World Cup,2022,default,Semi-finals,Argentina,Croatia,Argentina,Croatia,1,114081,C Romero,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1764
soccerbase,849208,2022-12-13,World Cup,2022,default,Semi-finals,Argentina,Croatia,Argentina,Croatia,1,54605,N Otamendi,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1764
soccerbase,849208,2022-12-13,World Cup,2022,default,Semi-finals,Argentina,Croatia,Croatia,Argentina,0,88011,D Livakovic,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1764
soccerbase,849208,2022-12-13,World Cup,2022,default,Semi-finals,Argentina,Croatia,Croatia,Argentina,0,58067,M Kovacic,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1764
soccerbase,871578,2022-12-10,World Cup,2022,default,Quarter-finals,England,France,England,France,1,58712,H Maguire,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1764
