source,soccerbase_game_id,date,competition,season,tab,stage,home_team,away_team,team,opponent,is_home,player_id,player_name,card_type,minute,event_source,source_url
soccerbase,878857,2023-07-03,CONCACAF Gold Cup,2023,default,Group A Matches and results,Jamaica,St Kitts and Nev,St Kitts and Nev,Jamaica,0,140105,M Roberts,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878857,2023-07-03,CONCACAF Gold Cup,2023,default,Group A Matches and results,Jamaica,St Kitts and Nev,St Kitts and Nev,Jamaica,0,178855,M Lewis,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878856,2023-07-03,CONCACAF Gold Cup,2023,default,Group A Matches and results,USA,Trinidad,USA,Trinidad,1,138543,J Neal,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878856,2023-07-03,CONCACAF Gold Cup,2023,default,Group A Matches and results,USA,Trinidad,Trinidad,USA,0,70617,K Molino,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878854,2023-06-29,CONCACAF Gold Cup,2023,default,Group A Matches and results,Jamaica,Trinidad,Jamaica,Trinidad,1,100455,D Lowe,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878854,2023-06-29,CONCACAF Gold Cup,2023,default,Group A Matches and results,Jamaica,Trinidad,Jamaica,Trinidad,1,103200,J Brown,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878854,2023-06-29,CONCACAF Gold Cup,2023,default,Group A Matches and results,Jamaica,Trinidad,Jamaica,Trinidad,1,101068,C Burke,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878854,2023-06-29,CONCACAF Gold Cup,2023,default,Group A Matches and results,Jamaica,Trinidad,Trinidad,Jamaica,0,95829,A Jones,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878854,2023-06-29,CONCACAF Gold Cup,2023,default,Group A Matches and results,Jamaica,Trinidad,Trinidad,Jamaica,0,67734,S Bateau,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878854,2023-06-29,CONCACAF Gold Cup,2023,default,Group A Matches and results,Jamaica,Trinidad,Trinidad,Jamaica,0,87945,N Hackshaw,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878855,2023-06-29,CONCACAF Gold Cup,2023,default,Group A Matches and results,St Kitts and Nev,USA,St Kitts and Nev,USA,1,107771,A Burley,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878855,2023-06-29,CONCACAF Gold Cup,2023,default,Group A Matches and results,St Kitts and Nev,USA,St Kitts and Nev,USA,1,99546,J Ible,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878855,2023-06-29,CONCACAF Gold Cup,2023,default,Group A Matches and results,St Kitts and Nev,USA,St Kitts and Nev,USA,1,178854,T Terrell,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878853,2023-06-25,CONCACAF Gold Cup,2023,default,Group A Matches and results,Trinidad,St Kitts and Nev,St Kitts and Nev,Trinidad,0,107771,A Burley,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878853,2023-06-25,CONCACAF Gold Cup,2023,default,Group A Matches and results,Trinidad,St Kitts and Nev,St Kitts and Nev,Trinidad,0,132569,R Somersall,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878852,2023-06-25,CONCACAF Gold Cup,2023,default,Group A Matches and results,USA,Jamaica,Jamaica,USA,0,80252,A Blake,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
