source,soccerbase_game_id,date,competition,season,tab,stage,home_team,away_team,home_possession,away_possession,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_corners,away_corners,stats_source,source_url
soccerbase,878857,2023-07-03,CONCACAF Gold Cup,2023,default,Group A Matches and results,Jamaica,St Kitts and Nev,67.0,33.0,6,2,7,3,7,1,additional_information,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878856,2023-07-03,CONCACAF Gold Cup,2023,default,Group A Matches and results,USA,Trinidad,66.4,33.6,8,3,11,6,5,4,additional_information,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878854,2023-06-29,CONCACAF Gold Cup,2023,default,Group A Matches and results,Jamaica,Trinidad,53.4,46.6,6,1,7,2,2,0,additional_information,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878855,2023-06-29,CONCACAF Gold Cup,2023,default,Group A Matches and results,St Kitts and Nev,USA,33.8,66.2,0,15,1,12,1,8,additional_information,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878853,2023-06-25,CONCACAF Gold Cup,2023,default,Group A Matches and results,Trinidad,St Kitts and Nev,65.5,34.5,4,1,5,3,8,8,additional_information,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878852,2023-06-25,CONCACAF Gold Cup,2023,default,Group A Matches and results,USA,Jamaica,67.8,32.2,4,3,7,1,5,2,additional_information,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2015
soccerbase,878862,2023-07-03,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Honduras,Haiti,54.9,45.1,7,7,7,10,2,9,additional_information,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878863,2023-07-03,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Mexico,Qatar,76.6,23.4,6,1,12,0,8,0,additional_information,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878861,2023-06-30,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Haiti,Mexico,35.2,64.8,2,10,3,11,6,9,additional_information,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878860,2023-06-30,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Qatar,Honduras,34.9,65.1,3,4,1,8,1,6,additional_information,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
