soccerbase_game_id,date,home_team,away_team,status
282700,1959-12-13,France,Austria,cached_from_soccerbase_match_stats
282701,1960-03-27,Austria,France,cached_from_soccerbase_match_stats
282702,1960-05-08,Portugal,Yugoslavia,cached_from_soccerbase_match_stats
282698,1960-05-22,Romania,Czechoslovakia,cached_from_soccerbase_match_stats
282703,1960-05-22,Yugoslavia,Portugal,cached_from_soccerbase_match_stats
282699,1960-05-29,Czechoslovakia,Romania,cached_from_soccerbase_match_stats
281262,1960-07-06,USSR,Czechoslovakia,cached_from_soccerbase_match_stats
281263,1960-07-06,France,Yugoslavia,cached_from_soccerbase_match_stats
281264,1960-07-09,France,Czechoslovakia,cached_from_soccerbase_match_stats
282893,1960-07-10,USSR,Yugoslavia,cached_from_soccerbase_match_stats
282693,1963-12-04,Luxembourg,Denmark,cached_from_soccerbase_match_stats
282694,1963-12-10,Denmark,Luxembourg,cached_from_soccerbase_match_stats
282691,1964-03-11,Spain,Ireland,cached_from_soccerbase_match_stats
282692,1964-04-08,Ireland,Spain,cached_from_soccerbase_match_stats
282689,1964-04-25,France,Hungary,cached_from_soccerbase_match_stats
282696,1964-05-13,Sweden,USSR,cached_from_soccerbase_match_stats
282690,1964-05-23,Hungary,France,cached_from_soccerbase_match_stats
282697,1964-05-27,USSR,Sweden,cached_from_soccerbase_match_stats
281248,1964-06-17,Spain,Hungary,cached_from_soccerbase_match_stats
281249,1964-06-17,USSR,Denmark,cached_from_soccerbase_match_stats
281250,1964-06-20,Hungary,Denmark,cached_from_soccerbase_match_stats
282894,1964-06-21,Spain,USSR,cached_from_soccerbase_match_stats
282685,1968-04-03,England,Spain,cached_from_soccerbase_match_stats
282681,1968-04-06,Bulgaria,Italy,cached_from_soccerbase_match_stats
282682,1968-04-20,Italy,Bulgaria,cached_from_soccerbase_match_stats
282688,1968-04-24,Yugoslavia,France,cached_from_soccerbase_match_stats
282683,1968-05-04,Hungary,USSR,cached_from_soccerbase_match_stats
282686,1968-05-08,Spain,England,cached_from_soccerbase_match_stats
282684,1968-05-11,USSR,Hungary,cached_from_soccerbase_match_stats
281244,1968-06-05,Yugoslavia,England,cached_from_soccerbase_match_stats
282622,1968-06-05,Italy,USSR,cached_from_soccerbase_match_stats
281245,1968-06-08,England,USSR,cached_from_soccerbase_match_stats
282895,1968-06-08,Italy,Yugoslavia,cached_from_soccerbase_match_stats
282896,1968-06-10,Italy,Yugoslavia,cached_from_soccerbase_match_stats
282613,1972-04-29,England,West Germany,cached_from_soccerbase_match_stats
282676,1972-04-29,Hungary,Romania,cached_from_soccerbase_match_stats
282679,1972-04-29,Italy,Belgium,cached_from_soccerbase_match_stats
282675,1972-04-30,Yugoslavia,USSR,cached_from_soccerbase_match_stats
282614,1972-05-13,West Germany,England,cached_from_soccerbase_match_stats
