source,soccerbase_game_id,date,competition,season,tab,stage,home_team,away_team,team,opponent,is_home,player_id,player_name,squad_status,is_starter,is_sub_used,is_unused_sub,sub_on_minute,sub_off_minute,soccerbase_position,shirt_number,referee,card_summary,kaggle_match_quality,kaggle_rating_snapshot_note,source_url,tournament_url
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,114556,M Kovar,starter,1,0,0,,,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,106063,L Krejci,starter,1,0,0,,,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,87225,T Soucek,sub_used,0,1,0,64,,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,66977,T Holes,starter,1,0,0,,64,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,137526,R Hranac,starter,1,0,0,,,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,111042,D Doudera,starter,1,0,0,,,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,76168,T Chory,sub_used,0,1,0,87,,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,140940,L Cerv,starter,1,0,0,,87,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,113410,M Sadilek,starter,1,0,0,,,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,71362,V Coufal,starter,1,0,0,,,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,77948,P Schick,sub_used,0,1,0,64,,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,116498,A Hlozek,starter,1,0,0,,64,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,122513,L Provod,sub_used,0,1,0,56,,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,135633,D Visinsky,starter,1,0,0,,56,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,122025,P Sulc,starter,1,0,0,,,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,139291,L Hornicek,unused_sub,0,0,1,,,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,117787,M Chytil,unused_sub,0,0,1,,,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
soccerbase,948921,2026-06-25,World Cup,2026,Group Stage,Group A Matches and results,Czech Rep,Mexico,Czech Rep,Mexico,1,59435,J Zeleny,unused_sub,0,0,1,,,,,Yael Falcon Perez,,,,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068&tab=tab-2500,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=2068
