source,source_url,resolved_url,source_page_title,competition,year,team,source_heading,shirt_number,position,player,date_of_birth,age,caps,goals,club,raw_date_of_birth_age,raw_player,raw_club
wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026 FIFA World Cup squads,FIFA World Cup,2026,Czech Republic,Czech Republic,,GK,Matěj Kovář,"May 17, 2000",26,19,0,PSV Eindhoven,"May 17, 2000 (aged 26)",Matěj Kovář,PSV Eindhoven
wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026 FIFA World Cup squads,FIFA World Cup,2026,Czech Republic,Czech Republic,,GK,Jindřich Staněk,"April 27, 1996",30,14,0,Slavia Prague,"April 27, 1996 (aged 30)",Jindřich Staněk,Slavia Prague
wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026 FIFA World Cup squads,FIFA World Cup,2026,Czech Republic,Czech Republic,,GK,Lukáš Horníček,"July 13, 2002",23,1,0,Braga,"July 13, 2002 (aged 23)",Lukáš Horníček,Braga
wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026 FIFA World Cup squads,FIFA World Cup,2026,Czech Republic,Czech Republic,,DF,Vladimír Coufal,"August 22, 1992",33,61,2,TSG Hoffenheim,"August 22, 1992 (aged 33)",Vladimír Coufal,TSG Hoffenheim
wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026 FIFA World Cup squads,FIFA World Cup,2026,Czech Republic,Czech Republic,,DF,Tomáš Holeš,"March 31, 1993",33,40,2,Slavia Prague,"March 31, 1993 (aged 33)",Tomáš Holeš,Slavia Prague
wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026 FIFA World Cup squads,FIFA World Cup,2026,Czech Republic,Czech Republic,,DF,Ladislav Krejčí (captain),"April 20, 1999",27,26,5,Wolverhampton Wanderers,"April 20, 1999 (aged 27)",Ladislav Krejčí (captain),Wolverhampton Wanderers
wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026 FIFA World Cup squads,FIFA World Cup,2026,Czech Republic,Czech Republic,,DF,David Zima,"November 8, 2000",25,24,1,Slavia Prague,"November 8, 2000 (aged 25)",David Zima,Slavia Prague
wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026 FIFA World Cup squads,FIFA World Cup,2026,Czech Republic,Czech Republic,,DF,Jaroslav Zelený,"August 20, 1992",33,22,0,Sparta Prague,"August 20, 1992 (aged 33)",Jaroslav Zelený,Sparta Prague
wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026 FIFA World Cup squads,FIFA World Cup,2026,Czech Republic,Czech Republic,,DF,David Jurásek,"August 7, 2000",25,17,1,Slavia Prague,"August 7, 2000 (aged 25)",David Jurásek,Slavia Prague
wikipedia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026 FIFA World Cup squads,FIFA World Cup,2026,Czech Republic,Czech Republic,,DF,David Douděra,"May 31, 1998",28,16,2,Slavia Prague,"May 31, 1998 (aged 28)",David Douděra,Slavia Prague
