date,kickoff_at,match_number,home_team,away_team,tournament,stage,group,city,country,venue,region_cluster,airport_code,neutral,home_is_placeholder,away_is_placeholder
2026-06-11,2026-06-11 15:00:00-06,1,Mexico,South Africa,FIFA World Cup,Group Stage,A,Mexico City,Mexico,Estadio Azteca,Central,MEX,False,False,False
2026-06-12,2026-06-12 21:00:00-07,4,United States,Paraguay,FIFA World Cup,Group Stage,D,Los Angeles,United States,SoFi Stadium,West,LAX,False,False,False
2026-06-13,2026-06-13 15:00:00-07,5,Qatar,Switzerland,FIFA World Cup,Group Stage,B,San Francisco Bay Area,United States,Levi's Stadium,West,SFO,True,False,False
2026-06-13,2026-06-13 18:00:00-04,6,Brazil,Morocco,FIFA World Cup,Group Stage,C,New York/New Jersey,United States,MetLife Stadium,East,EWR,True,False,False
2026-06-13,2026-06-13 21:00:00-04,7,Haiti,Scotland,FIFA World Cup,Group Stage,C,Boston,United States,Gillette Stadium,East,BOS,True,False,False
2026-06-14,2026-06-14 13:00:00-05,9,Germany,Curaçao,FIFA World Cup,Group Stage,E,Houston,United States,NRG Stadium,Central,IAH,True,False,False
2026-06-14,2026-06-14 16:00:00-05,10,Netherlands,Japan,FIFA World Cup,Group Stage,F,Dallas,United States,AT&T Stadium,Central,DAL,True,False,False
2026-06-14,2026-06-14 19:00:00-04,11,Côte d'Ivoire,Ecuador,FIFA World Cup,Group Stage,E,Philadelphia,United States,Lincoln Financial Field,East,PHL,True,False,False
2026-06-15,2026-06-15 12:00:00-04,13,Spain,Cape Verde,FIFA World Cup,Group Stage,H,Atlanta,United States,Mercedes-Benz Stadium,East,ATL,True,False,False
2026-06-15,2026-06-15 15:00:00-07,14,Belgium,Egypt,FIFA World Cup,Group Stage,G,Seattle,United States,Lumen Field,West,SEA,True,False,False
2026-06-15,2026-06-15 18:00:00-04,15,Saudi Arabia,Uruguay,FIFA World Cup,Group Stage,H,Miami,United States,Hard Rock Stadium,East,MIA,True,False,False
2026-06-15,2026-06-15 21:00:00-07,16,Iran,New Zealand,FIFA World Cup,Group Stage,G,Los Angeles,United States,SoFi Stadium,West,LAX,True,False,False
2026-06-16,2026-06-16 15:00:00-04,17,France,Senegal,FIFA World Cup,Group Stage,I,New York/New Jersey,United States,MetLife Stadium,East,EWR,True,False,False
2026-06-16,2026-06-16 21:00:00-05,19,Argentina,Algeria,FIFA World Cup,Group Stage,J,Kansas City,United States,Arrowhead Stadium,Central,MCI,True,False,False
2026-06-17,2026-06-17 00:00:00-07,20,Austria,Jordan,FIFA World Cup,Group Stage,J,San Francisco Bay Area,United States,Levi's Stadium,West,SFO,True,False,False
2026-06-17,2026-06-17 16:00:00-05,22,England,Croatia,FIFA World Cup,Group Stage,L,Dallas,United States,AT&T Stadium,Central,DAL,True,False,False
2026-06-17,2026-06-17 19:00:00-04,23,Ghana,Panama,FIFA World Cup,Group Stage,L,Toronto,Canada,BMO Field,East,YYZ,True,False,False
2026-06-17,2026-06-17 22:00:00-06,24,Uzbekistan,Colombia,FIFA World Cup,Group Stage,K,Mexico City,Mexico,Estadio Azteca,Central,MEX,True,False,False
2026-06-18,2026-06-18 18:00:00-07,27,Canada,Qatar,FIFA World Cup,Group Stage,B,Vancouver,Canada,BC Place,West,YVR,False,False,False
2026-06-18,2026-06-18 21:00:00-06,28,Mexico,South Korea,FIFA World Cup,Group Stage,A,Guadalajara,Mexico,Estadio Akron,Central,GDL,False,False,False
2026-06-19,2026-06-19 15:00:00-07,29,United States,Australia,FIFA World Cup,Group Stage,D,Seattle,United States,Lumen Field,West,SEA,False,False,False
