country_key,current_recent_player_count,current_recent_caps,current_recent_goals,current_top11_market_value,current_top18_market_value,current_top23_market_value,current_top23_avg_market_value
albania,61,870.0,56.0,84500000.0,103000000.0,108900000.0,4734782.608695652
algeria,33,708.0,119.0,165500000.0,184200000.0,189050000.0,8219565.217391305
american virgin islands,1,18.0,0.0,100000.0,100000.0,100000.0,100000.0
andorra,4,139.0,6.0,1210000.0,1210000.0,1210000.0,302500.0
angola,22,291.0,39.0,43000000.0,48600000.0,49225000.0,2237500.0
antigua and barbuda,3,48.0,3.0,475000.0,475000.0,475000.0,158333.33333333334
argentina,43,1232.0,207.0,562000000.0,705000000.0,778000000.0,33826086.95652174
armenia,5,131.0,22.0,32800000.0,32800000.0,32800000.0,6560000.0
aruba,2,32.0,7.0,0.0,0.0,0.0,0.0
australia,90,743.0,75.0,34500000.0,42000000.0,45800000.0,1991304.347826087
austria,37,886.0,144.0,120500000.0,138200000.0,144000000.0,6260869.565217392
azerbaijan,3,66.0,6.0,1900000.0,1900000.0,1900000.0,633333.3333333334
bangladesh,2,5.0,1.0,4500000.0,4500000.0,4500000.0,2250000.0
barbados,1,16.0,8.0,550000.0,550000.0,550000.0,550000.0
belarus,12,325.0,26.0,5350000.0,5450000.0,5450000.0,454166.6666666667
belgium,108,1212.0,229.0,333000000.0,451000000.0,507000000.0,22043478.260869566
benin,13,396.0,45.0,10150000.0,10350000.0,10350000.0,796153.8461538461
bermuda,4,125.0,46.0,400000.0,400000.0,400000.0,100000.0
bolivia,3,87.0,5.0,2050000.0,2050000.0,2050000.0,683333.3333333334
bonaire,1,9.0,1.0,350000.0,350000.0,350000.0,350000.0
bosnia herzegovina,26,471.0,82.0,56600000.0,66900000.0,68450000.0,2976086.9565217393
brazil,57,781.0,87.0,785000000.0,984000000.0,1090000000.0,47391304.347826086
bulgaria,19,236.0,18.0,18300000.0,19950000.0,20050000.0,1055263.1578947369
burkina faso,21,497.0,56.0,100300000.0,103425000.0,103525000.0,4929761.904761905
burundi,5,67.0,14.0,13050000.0,13050000.0,13050000.0,2610000.0
cameroon,28,656.0,93.0,194500000.0,212000000.0,218900000.0,9517391.304347826
canada,24,747.0,136.0,145000000.0,158800000.0,159600000.0,6939130.434782608
cape verde,25,311.0,32.0,22400000.0,25500000.0,26225000.0,1140217.391304348
central african republic,13,147.0,27.0,12575000.0,12575000.0,12575000.0,967307.6923076923
chad,2,38.0,7.0,3800000.0,3800000.0,3800000.0,1900000.0
chile,27,945.0,168.0,45600000.0,56600000.0,58800000.0,2556521.7391304346
china,99,584.0,58.0,9400000.0,12375000.0,14100000.0,613043.4782608695
chinese taipei,3,100.0,26.0,95000.0,95000.0,95000.0,31666.666666666668
colombia,37,916.0,111.0,233000000.0,275500000.0,289000000.0,12565217.391304348
comoros,36,433.0,38.0,17800000.0,20000000.0,20550000.0,893478.2608695652
congo,16,182.0,12.0,7900000.0,8175000.0,8175000.0,510937.5
congo dr,26,391.0,48.0,119000000.0,134000000.0,139500000.0,6065217.391304348
costa rica,13,548.0,54.0,10900000.0,11500000.0,11500000.0,884615.3846153846
croatia,56,1128.0,170.0,221000000.0,268500000.0,289000000.0,12565217.391304348
cuba,3,44.0,7.0,1150000.0,1150000.0,1150000.0,383333.3333333333
curacao,19,416.0,71.0,12950000.0,14425000.0,14525000.0,764473.6842105263
cyprus,8,193.0,10.0,4200000.0,4200000.0,4200000.0,525000.0
czech republic,49,508.0,66.0,96500000.0,121500000.0,133500000.0,5804347.826086956
denmark,103,1442.0,182.0,315000000.0,434000000.0,502000000.0,21826086.95652174
djibouti,1,0.0,0.0,0.0,0.0,0.0,0.0
dominican republic,18,106.0,19.0,19175000.0,19350000.0,19350000.0,1075000.0
ecuador,19,656.0,81.0,158100000.0,168550000.0,168750000.0,8881578.94736842
egypt,9,324.0,104.0,135600000.0,135600000.0,135600000.0,15066666.666666666
el salvador,7,111.0,9.0,3075000.0,3075000.0,3075000.0,439285.71428571426
england,185,1717.0,242.0,855000000.0,1175000000.0,1375000000.0,59782608.69565217
equatorial guinea,15,333.0,33.0,17300000.0,17900000.0,17900000.0,1193333.3333333333
estonia,12,308.0,17.0,7185000.0,7185000.0,7185000.0,598750.0
faroe islands,6,420.0,29.0,1000000.0,1000000.0,1000000.0,166666.66666666666
fiji,1,54.0,35.0,125000.0,125000.0,125000.0,125000.0
finland,38,909.0,120.0,38800000.0,46300000.0,49400000.0,2147826.086956522
france,124,1303.0,210.0,935000000.0,1260000000.0,1437000000.0,62478260.86956522
french guiana,3,56.0,1.0,1175000.0,1175000.0,1175000.0,391666.6666666667
gabon,14,461.0,67.0,24250000.0,24600000.0,24600000.0,1757142.857142857
georgia,24,617.0,66.0,84000000.0,92450000.0,94150000.0,4093478.2608695654
germany,114,1330.0,200.0,567000000.0,765000000.0,882000000.0,38347826.08695652
ghana,42,486.0,73.0,195000000.0,238500000.0,257000000.0,11173913.043478262
gibraltar,2,140.0,9.0,125000.0,125000.0,125000.0,62500.0
greece,33,592.0,62.0,108300000.0,115150000.0,116850000.0,5080434.782608695
grenada,6,61.0,7.0,575000.0,575000.0,575000.0,95833.33333333333
guadeloupe,17,299.0,46.0,8875000.0,9335000.0,9335000.0,549117.6470588235
guatemala,10,189.0,22.0,1900000.0,1900000.0,1900000.0,190000.0
guinea,30,405.0,49.0,90800000.0,99950000.0,102350000.0,4450000.0
guinea bissau,22,308.0,18.0,47150000.0,49125000.0,49650000.0,2256818.1818181816
guyana,6,125.0,15.0,4475000.0,4475000.0,4475000.0,745833.3333333334
haiti,19,377.0,97.0,32300000.0,33275000.0,33300000.0,1752631.5789473683
honduras,9,374.0,29.0,9175000.0,9175000.0,9175000.0,1019444.4444444445
hongkong,4,40.0,1.0,950000.0,950000.0,950000.0,237500.0
hungary,66,895.0,71.0,87600000.0,96400000.0,100100000.0,4352173.9130434785
iceland,31,898.0,103.0,75500000.0,80350000.0,82500000.0,3586956.5217391304
indonesia,20,198.0,26.0,25850000.0,27800000.0,27875000.0,1393750.0
iran,12,661.0,149.0,23650000.0,24250000.0,24250000.0,2020833.3333333333
iraq,15,374.0,45.0,9550000.0,10200000.0,10200000.0,680000.0
ireland,73,835.0,65.0,161000000.0,199100000.0,213600000.0,9286956.52173913
israel,5,144.0,10.0,25200000.0,25200000.0,25200000.0,5040000.0
italy,203,1525.0,179.0,560000000.0,762000000.0,887000000.0,38565217.39130435
ivory coast,49,678.0,71.0,291000000.0,348000000.0,371000000.0,16130434.782608695
jamaica,18,375.0,34.0,49000000.0,50200000.0,50200000.0,2788888.888888889
japan,63,915.0,123.0,223000000.0,270500000.0,280500000.0,12195652.173913043
jordan,2,120.0,21.0,6350000.0,6350000.0,6350000.0,3175000.0
kazakhstan,8,277.0,32.0,10850000.0,10850000.0,10850000.0,1356250.0
kenya,7,138.0,1.0,12700000.0,12700000.0,12700000.0,1814285.7142857143
korea south,60,672.0,104.0,121600000.0,129200000.0,132750000.0,5771739.130434782
kosovo,37,583.0,76.0,90500000.0,103900000.0,107700000.0,4682608.695652174
kuwait,1,35.0,0.0,75000.0,75000.0,75000.0,75000.0
laos,1,0.0,0.0,0.0,0.0,0.0,0.0
latvia,18,437.0,35.0,5425000.0,5510000.0,5510000.0,306111.1111111111
lebanon,4,14.0,0.0,1000000.0,1000000.0,1000000.0,250000.0
liberia,6,61.0,3.0,7875000.0,7875000.0,7875000.0,1312500.0
libya,2,5.0,2.0,0.0,0.0,0.0,0.0
liechtenstein,4,213.0,3.0,300000.0,300000.0,300000.0,75000.0
lithuania,23,262.0,11.0,11050000.0,11175000.0,11175000.0,485869.5652173913
luxembourg,14,715.0,53.0,31100000.0,31575000.0,31575000.0,2255357.1428571427
macedonia,17,577.0,84.0,25650000.0,27150000.0,27150000.0,1597058.8235294118
madagascar,24,219.0,15.0,10250000.0,10775000.0,10775000.0,468478.26086956525
malaysia,3,6.0,4.0,3000000.0,3000000.0,3000000.0,1000000.0
mali,36,373.0,45.0,111000000.0,124800000.0,128700000.0,5595652.173913044
malta,12,177.0,9.0,7350000.0,7350000.0,7350000.0,612500.0
martinique,5,66.0,9.0,1950000.0,1950000.0,1950000.0,390000.0
mauritania,14,304.0,26.0,9525000.0,9725000.0,9725000.0,694642.8571428572
mauritius,5,66.0,5.0,675000.0,675000.0,675000.0,135000.0
mexico,63,1619.0,184.0,133000000.0,170500000.0,190500000.0,8282608.695652174
moldova,15,267.0,28.0,10650000.0,10725000.0,10725000.0,715000.0
montenegro,21,537.0,87.0,31400000.0,33475000.0,33600000.0,1600000.0
montserrat,3,64.0,15.0,100000.0,100000.0,100000.0,33333.333333333336
morocco,47,702.0,82.0,254000000.0,340000000.0,382000000.0,16608695.652173912
mozambique,4,159.0,15.0,5800000.0,5800000.0,5800000.0,1450000.0
netherlands,75,1193.0,185.0,530000000.0,721000000.0,833000000.0,36217391.30434783
neukaledonien,4,39.0,15.0,200000.0,200000.0,200000.0,50000.0
new zealand,28,483.0,79.0,22700000.0,26100000.0,27850000.0,1210869.5652173914
niger,10,73.0,11.0,6925000.0,6925000.0,6925000.0,692500.0
nigeria,25,665.0,63.0,240000000.0,266000000.0,270900000.0,11778260.869565217
northern ireland,46,538.0,34.0,56600000.0,62900000.0,65200000.0,2834782.6086956523
norway,77,924.0,150.0,456000000.0,517000000.0,536500000.0,23326086.95652174
oman,1,62.0,3.0,450000.0,450000.0,450000.0,450000.0
pakistan,5,2.0,0.0,100000.0,100000.0,100000.0,20000.0
palestine,6,23.0,2.0,10250000.0,10250000.0,10250000.0,1708333.3333333333
panama,12,664.0,41.0,13250000.0,13300000.0,13300000.0,1108333.3333333333
paraguay,22,523.0,40.0,76800000.0,86700000.0,88100000.0,4004545.4545454546
peru,18,1141.0,92.0,14500000.0,16200000.0,16200000.0,900000.0
philippines,13,100.0,4.0,3225000.0,3400000.0,3400000.0,261538.46153846153
poland,98,1327.0,207.0,159500000.0,195500000.0,216200000.0,9400000.0
portugal,164,1819.0,368.0,610000000.0,865000000.0,1003000000.0,43608695.652173914
puerto rico,6,72.0,8.0,800000.0,800000.0,800000.0,133333.33333333334
qatar,22,901.0,105.0,15450000.0,16850000.0,17025000.0,773863.6363636364
romania,41,687.0,81.0,70900000.0,82200000.0,86900000.0,3778260.8695652173
russia,42,297.0,46.0,98500000.0,120300000.0,130100000.0,5656521.739130435
rwanda,4,58.0,3.0,1850000.0,1850000.0,1850000.0,462500.0
saint martin,7,55.0,4.0,200000.0,200000.0,200000.0,28571.428571428572
san marino,5,101.0,4.0,450000.0,450000.0,450000.0,90000.0
sao tome and principe,3,19.0,0.0,475000.0,475000.0,475000.0,158333.33333333334
scotland,92,1115.0,98.0,205000000.0,253500000.0,274500000.0,11934782.608695652
senegal,39,580.0,78.0,213500000.0,246500000.0,261000000.0,11347826.086956521
serbia,33,675.0,54.0,183000000.0,220500000.0,238500000.0,10369565.217391305
seychelles,1,6.0,0.0,50000.0,50000.0,50000.0,50000.0
sierra leone,16,203.0,31.0,11400000.0,11525000.0,11525000.0,720312.5
sint maarten,1,19.0,2.0,0.0,0.0,0.0,0.0
slovakia,45,956.0,66.0,111000000.0,121200000.0,124650000.0,5419565.217391305
slovenia,34,845.0,81.0,124700000.0,132000000.0,135350000.0,5884782.608695652
somalia,2,4.0,0.0,200000.0,200000.0,200000.0,100000.0
south africa,7,36.0,6.0,8250000.0,8250000.0,8250000.0,1178571.4285714286
spain,123,1335.0,220.0,940000000.0,1250000000.0,1430000000.0,62173913.04347826
sri lanka,3,29.0,1.0,125000.0,125000.0,125000.0,41666.666666666664
st kitts nevis,7,140.0,11.0,625000.0,625000.0,625000.0,89285.71428571429
st lucia,6,61.0,11.0,600000.0,600000.0,600000.0,100000.0
st vincent grenadinen,2,77.0,26.0,50000.0,50000.0,50000.0,25000.0
sudan,1,10.0,0.0,100000.0,100000.0,100000.0,100000.0
suriname,17,171.0,14.0,16050000.0,17450000.0,17450000.0,1026470.5882352941
sweden,60,851.0,105.0,398500000.0,438000000.0,457500000.0,19891304.347826086
switzerland,96,1043.0,114.0,261000000.0,310500000.0,334500000.0,14543478.260869564
syria,5,50.0,2.0,3725000.0,3725000.0,3725000.0,745000.0
tahiti,1,7.0,0.0,0.0,0.0,0.0,0.0
tanzania,3,97.0,1.0,550000.0,550000.0,550000.0,183333.33333333334
thailand,6,113.0,24.0,2950000.0,2950000.0,2950000.0,491666.6666666667
the gambia,19,275.0,27.0,46300000.0,48625000.0,48775000.0,2567105.263157895
timor leste,2,4.0,0.0,0.0,0.0,0.0,0.0
togo,15,309.0,11.0,26450000.0,26510000.0,26510000.0,1767333.3333333333
trinidad and tobago,12,359.0,58.0,2075000.0,2075000.0,2075000.0,172916.66666666666
tunisia,20,501.0,40.0,45400000.0,50000000.0,50020000.0,2501000.0
turkey,65,862.0,74.0,209000000.0,252500000.0,268600000.0,11678260.869565217
uganda,7,57.0,2.0,2425000.0,2425000.0,2425000.0,346428.5714285714
ukraine,57,1022.0,130.0,256000000.0,312000000.0,331500000.0,14413043.47826087
united arab emirates,2,12.0,0.0,4750000.0,4750000.0,4750000.0,2375000.0
united states,101,1063.0,134.0,249000000.0,308000000.0,334000000.0,14521739.130434783
uruguay,27,716.0,65.0,385000000.0,435500000.0,455000000.0,19782608.695652176
uzbekistan,4,197.0,56.0,42350000.0,42350000.0,42350000.0,10587500.0
venezuela,29,815.0,83.0,43500000.0,47150000.0,48675000.0,2116304.347826087
vietnam,1,1.0,0.0,500000.0,500000.0,500000.0,500000.0
wales,63,1003.0,77.0,157000000.0,172700000.0,178400000.0,7756521.739130435
zambia,7,214.0,17.0,7300000.0,7300000.0,7300000.0,1042857.1428571428
zimbabwe,13,132.0,11.0,27700000.0,27725000.0,27725000.0,2132692.3076923075
